Hippos Go Berserk!,Sandra Boynton,Board ,,,
Hop on Pop,Dr. Seuss,Hardback ,,,
House of Robots: Robot Revolution,James Patterson & Chris Grabenstein,Hardback,Mom & Dad,,
How Do Dinosaurs Learn Their Colors?,Jane Yolen & Mark Teague,Board ,,,
How Do Dinosaurs Love Their Dogs?,Jane Yolen & Mark Teague,Board,,,
I Can Read! Biscuit Finds a Friend,Alyssa Satin Capucilli,Paperback,Carrie & Piper Claus,,
I Can Read! Bread and Jam for Frances,Russel Hoban,Paperback,Carrie & Piper Claus,,
I Count to 5 Alaskan Adventure Pop up Fun ,Arctic Circle ,Board ,Grandma Ronna,,
I Don’t Want To Be A Frog,Petty & Boldt,Board,,,
I Howl I Growl,Marcia Vaughan,Board,,,
I Love You More and More,Nicky Benson,Board,,,
I love you snow much,Sandra Magsamen,Board,Mom & Dad,,
"I Love You, Good Night",Jon Buller & Susan Schade,Board ,,,
"I Love You, Stinky Face",Lisa McCourt,Board,,,
I saw Santa in Washington,"Green, Sarell, & Bassani",Hardback  ,Auntie Stacey,,
I Wish…,Johnson & Irving,Board,Grandma Ronna ,,
If Animals Kissed Good Night,Ann Whitford Paul,Board,,,
Insects,Zim & Cottam,Paperback,Dad,,
Is Your Mama a Llama ,Deborah Guarino,Board,Nana & Papa Dansby,,
"It’s Pumpkin Day, Mouse!",Laura Numeroff & Felicia Bond,Board,Mom & Dad,,
"It’s Time to Sleep, My Love",Nancy Tillman,Board,,,
Jane Eyre,Jennifer Adams,Board,Mom & Dad,,
Just Me and My Dad,Mercer Mayer,Paperback,,,
Larry Loves Seattle,John Skewes,Board,Haythem & Lindsey,,
Learning Friends 100 words Book,Leap Frog ,Sound Book,Grandma & Papa Orf ,,
Letters to Santa,Deborah Halverson,Hardback,Nana & Papa Dansby,,
Lift-the-flap first 100 numbers,Roger Priddy,Hardback,Jayne Barkman,,
Little Blue Truck,Alice Scheitel,Board,,,
Little Boy ,Alison McGhee & Peter H. Reynolds,Hardback,,,
Little Simon ABC,Mik Brown,Hardback,Mom,,
Little Spider ,Chronicle Books,Finger Puppet ,Mom & Dad,,
Llama Llama red pajama ,Anna Dewdney,Hardback,Nana & Papa Dansby,,
Los 3 cerditos ,Xavier Deneux,Hardback,Mom & Dad,,
Love You Forever,Robert Munsch,Paperback,,,
"Love You, Baby",Stephan Lomp,Indestructibles,Mom & Dad,,
Make Way For Ducklings,Robert McCloskey,Paperback,"Ryle, Alyssa, Max & Johan",,
Mammals,Zim & Hoffmeister,Paperback,Dad,,
Mariners 101: my first team-Board,Brad M. Epstein,Board ,Donna Lontz,,
Meet the Tiger,Stefan Casta & Anna Viktorsson,Hardback  ,Mom,,
Mimi’s Toes,Baby Einstein ,Water book ,,,
Moby-Dick,Jennifer Adams,Board,Mom & Dad,,
Monster ABC,Derek Sullivan & Kyle Sullivan,Board,Jessica Lennard,,
"Moo, Baa, La La La ",Sandra Boynton,Board ,,,
More and More,Emma Dodd,Hardback,Mom,,
Mother Bruce,Ryan T. Higgins,Hardback,Grandma & Papa Orf ,,
Mr. Wishing Went Fishing,Irma Wilde ,Hardback,,,
Mrs. Peanuckle’s Bug Alphabet,Jessie Ford,Board,Mom & Dad,,
My big dinosaur book,Priddy Books,Hardback  ,Nana & Papa Dansby,,
My First Book of Things To See,Tiger Tales ,Board,,,
My First Touch and Feel Sound Book: Noisy Dinosaurs,Tiger Tales ,Hardback ,Grandma & Papa Orf ,,
My Grandson is a Genius!,Giles Andreae,Hardback,,,
My Very First Book of Animal Sounds,Eric Carle ,Board ,,,
Never Feed A Yeti Spaghetti,Make believe ideas,Board,Auntie Stacey ,,
NEVER Touch A Dragon,Make believe ideas,Board,Mom,,
NEVER touch A monster!,Make believe ideas,Board,,,
NEVER Touch A Shark ,Make believe ideas,Board,Mom,,
